r_series_ohm,c_f,r_load_ohm,fc_hz,fc_pass
1027.2166322707192,9.600979552985081e-08,103049.98970376467,1629.859685800781,True
1035.3224221342698,1.0285201328656332e-07,100406.42780364779,1510.0347166132217,True
1005.9758554259726,9.940323981865717e-08,103932.01738990494,1606.9983558153021,True
1042.8558012436135,9.857503403704285e-08,103396.09192125643,1563.8219260639505,True
1040.0148231997782,1.0212263184501168e-07,100488.14101303038,1514.0153884578917,True
1035.4722189793276,9.579155782962636e-08,99736.50446435675,1621.213002964142,True
964.6244484679511,1.0478973701621768e-07,96330.25601516424,1590.268258494749,True
997.7968814951054,1.0187178014184526e-07,99036.37998974908,1581.5311110881216,True
1024.2984616984663,1.0344149354044352e-07,97352.11941670619,1517.9044097258045,True
982.9605453623303,1.0028669964288423e-07,98629.29504101019,1630.6004258455396,True
981.9885824260242,9.502885295416479e-08,99902.3594861596,1722.2898913967356,True
1035.800457138847,1.0077796746617934e-07,101261.74933890595,1540.2749209732028,True
971.8725147874379,9.801631419402781e-08,96140.75222293474,1687.6432266261647,True
1041.949354723341,9.619034991003694e-08,104443.81803418758,1603.8108389568345,True
1012.2723010031132,1.0184109642627712e-07,102476.75453665604,1559.0809043358893,True
1016.373494420418,1.0463280369359451e-07,96375.18381094385,1512.3594669123088,True
975.4598345015298,1.0220313133359218e-07,96885.52265634469,1612.4907171448162,True
958.3423695436792,9.670402075271217e-08,103307.53175422309,1733.2655850791793,True
952.3603213990735,1.025334005376981e-07,103119.80041650085,1644.924561196822,True
953.5063239796259,1.0452494558374618e-07,96880.35274577478,1612.6127046447652,True
1041.2369445305783,9.665724672544042e-08,95538.49247759306,1598.6144806468176,True
1025.1381391489745,1.0015959255042224e-07,101849.25906827296,1565.6497779593751,True
983.1197994718084,9.538017814851988e-08,101674.29794843982,1713.6996704324383,True
1046.3823718104734,1.0265298558281912e-07,98786.9148092718,1497.3872280641199,True
976.1779626882353,9.665404410204091e-08,104077.69324639098,1702.650479402202,True
1011.4998665007641,9.92542880082234e-08,103135.95429792049,1600.8240135587382,True
1040.683325683982,1.0258023491810355e-07,103290.97819173723,1505.8842102965757,True
982.4196779819474,9.531190470398999e-08,101637.21366279044,1716.1436523059954,True
1026.0162335415973,9.562675219189551e-08,100807.78155405534,1638.6431117211011,True
1032.141750441484,1.0464512783205364e-07,104942.00049646098,1488.032251865261,True
976.8517456870479,1.0227205823095369e-07,104167.48048215512,1608.0079281626233,True
989.1592463967502,1.0043437271227653e-07,100192.55973573047,1617.84952752218,True
995.3863155229648,1.0200509392283363e-07,97398.54841327753,1583.5159768485435,True
993.8389472795794,1.0241152080588784e-07,100012.07348079489,1579.2455756796312,True
1009.8267176487805,9.542775604121452e-08,103806.86364021523,1667.6424280049312,True
1022.2187998742198,9.969851660355338e-08,102483.77361395482,1577.240631461413,True
984.9031568697284,1.0033145500210458e-07,103269.95127670378,1625.9672949971125,True
