temp_c,ph,slope_mV_per_ph,diff_mV,abs_diff_mV,adc_range_pass
-10,4,52.22400824170016,156.6720247251005,156.6720247251005,True
-10,5,52.22400824170016,104.44801648340032,104.44801648340032,True
-10,6,52.22400824170016,52.22400824170016,52.22400824170016,True
-10,7,52.22400824170016,0.0,0.0,True
-10,8,52.22400824170016,-52.22400824170016,52.22400824170016,True
-10,9,52.22400824170016,-104.44801648340032,104.44801648340032,True
-10,10,52.22400824170016,-156.6720247251005,156.6720247251005,True
-5,4,53.21629416687022,159.64888250061065,159.64888250061065,True
-5,5,53.21629416687022,106.43258833374044,106.43258833374044,True
-5,6,53.21629416687022,53.21629416687022,53.21629416687022,True
-5,7,53.21629416687022,0.0,0.0,True
-5,8,53.21629416687022,-53.21629416687022,53.21629416687022,True
-5,9,53.21629416687022,-106.43258833374044,106.43258833374044,True
-5,10,53.21629416687022,-159.64888250061065,159.64888250061065,True
0,4,54.208580092040286,162.62574027612087,162.62574027612087,True
0,5,54.208580092040286,108.41716018408057,108.41716018408057,True
0,6,54.208580092040286,54.208580092040286,54.208580092040286,True
0,7,54.208580092040286,0.0,0.0,True
0,8,54.208580092040286,-54.208580092040286,54.208580092040286,True
0,9,54.208580092040286,-108.41716018408057,108.41716018408057,True
0,10,54.208580092040286,-162.62574027612087,162.62574027612087,True
5,4,55.200866017210345,165.60259805163102,165.60259805163102,True
5,5,55.200866017210345,110.40173203442069,110.40173203442069,True
5,6,55.200866017210345,55.200866017210345,55.200866017210345,True
5,7,55.200866017210345,0.0,0.0,True
5,8,55.200866017210345,-55.200866017210345,55.200866017210345,True
5,9,55.200866017210345,-110.40173203442069,110.40173203442069,True
5,10,55.200866017210345,-165.60259805163102,165.60259805163102,True
10,4,56.1931519423804,168.57945582714123,168.57945582714123,True
10,5,56.1931519423804,112.3863038847608,112.3863038847608,True
10,6,56.1931519423804,56.1931519423804,56.1931519423804,True
10,7,56.1931519423804,0.0,0.0,True
10,8,56.1931519423804,-56.1931519423804,56.1931519423804,True
10,9,56.1931519423804,-112.3863038847608,112.3863038847608,True
10,10,56.1931519423804,-168.57945582714123,168.57945582714123,True
15,4,57.185437867550455,171.55631360265136,171.55631360265136,True
15,5,57.185437867550455,114.37087573510091,114.37087573510091,True
15,6,57.185437867550455,57.185437867550455,57.185437867550455,True
15,7,57.185437867550455,0.0,0.0,True
15,8,57.185437867550455,-57.185437867550455,57.185437867550455,True
15,9,57.185437867550455,-114.37087573510091,114.37087573510091,True
15,10,57.185437867550455,-171.55631360265136,171.55631360265136,True
20,4,58.17772379272051,174.53317137816154,174.53317137816154,True
20,5,58.17772379272051,116.35544758544103,116.35544758544103,True
20,6,58.17772379272051,58.17772379272051,58.17772379272051,True
20,7,58.17772379272051,0.0,0.0,True
20,8,58.17772379272051,-58.17772379272051,58.17772379272051,True
20,9,58.17772379272051,-116.35544758544103,116.35544758544103,True
20,10,58.17772379272051,-174.53317137816154,174.53317137816154,True
25,4,59.17000971789058,177.51002915367172,177.51002915367172,True
25,5,59.17000971789058,118.34001943578116,118.34001943578116,True
25,6,59.17000971789058,59.17000971789058,59.17000971789058,True
25,7,59.17000971789058,0.0,0.0,True
25,8,59.17000971789058,-59.17000971789058,59.17000971789058,True
25,9,59.17000971789058,-118.34001943578116,118.34001943578116,True
25,10,59.17000971789058,-177.51002915367172,177.51002915367172,True
30,4,60.16229564306064,180.4868869291819,180.4868869291819,True
30,5,60.16229564306064,120.32459128612128,120.32459128612128,True
30,6,60.16229564306064,60.16229564306064,60.16229564306064,True
30,7,60.16229564306064,0.0,0.0,True
30,8,60.16229564306064,-60.16229564306064,60.16229564306064,True
30,9,60.16229564306064,-120.32459128612128,120.32459128612128,True
30,10,60.16229564306064,-180.4868869291819,180.4868869291819,True
35,4,61.1545815682307,183.4637447046921,183.4637447046921,True
35,5,61.1545815682307,122.3091631364614,122.3091631364614,True
35,6,61.1545815682307,61.1545815682307,61.1545815682307,True
35,7,61.1545815682307,0.0,0.0,True
35,8,61.1545815682307,-61.1545815682307,61.1545815682307,True
35,9,61.1545815682307,-122.3091631364614,122.3091631364614,True
35,10,61.1545815682307,-183.4637447046921,183.4637447046921,True
40,4,62.14686749340075,186.44060248020222,186.44060248020222,True
40,5,62.14686749340075,124.2937349868015,124.2937349868015,True
40,6,62.14686749340075,62.14686749340075,62.14686749340075,True
40,7,62.14686749340075,0.0,0.0,True
40,8,62.14686749340075,-62.14686749340075,62.14686749340075,True
40,9,62.14686749340075,-124.2937349868015,124.2937349868015,True
40,10,62.14686749340075,-186.44060248020222,186.44060248020222,True
45,4,63.13915341857081,189.41746025571243,189.41746025571243,True
45,5,63.13915341857081,126.27830683714161,126.27830683714161,True
45,6,63.13915341857081,63.13915341857081,63.13915341857081,True
45,7,63.13915341857081,0.0,0.0,True
45,8,63.13915341857081,-63.13915341857081,63.13915341857081,True
45,9,63.13915341857081,-126.27830683714161,126.27830683714161,True
45,10,63.13915341857081,-189.41746025571243,189.41746025571243,True
50,4,64.13143934374087,192.39431803122258,192.39431803122258,True
50,5,64.13143934374087,128.26287868748173,128.26287868748173,True
50,6,64.13143934374087,64.13143934374087,64.13143934374087,True
50,7,64.13143934374087,0.0,0.0,True
50,8,64.13143934374087,-64.13143934374087,64.13143934374087,True
50,9,64.13143934374087,-128.26287868748173,128.26287868748173,True
50,10,64.13143934374087,-192.39431803122258,192.39431803122258,True
